id,referencia,marca,capacidad,ciudad,responsable
8126,ACH01,KALLEY,659,Caldas,Anibal Gaviria
1000,ACH01,KALLEY,1049,Sabaneta,Anibal Gaviria
4273,ACH01,KALLEY,285,Caldas,Sergio Fajardo
9173,ACH01,KALLEY,1004,Bello,Sergio Fajardo
6843,ACH22,RICO,591,Bello,Luis Perez
6365,ACH22,RICO,455,Medellín,Federico Gutierrez
138,ACH01,SONY,582,Medellín,Anibal Gaviria
2262,ACH01,RICO,633,Medellín,Sergio Fajardo
9623,ACH22,RICO,631,Bello,Anibal Gaviria
1726,ACH01,RICO,778,Envigado,Federico Gutierrez
1741,ACH01,SONY,208,Sabaneta,Luis Perez
3459,ACH43,KALLEY,1604,Envigado,Federico Gutierrez
2172,ACH22,SONY,1128,Sabaneta,Sergio Fajardo
1928,ACH22,RICO,445,Caldas,Daniel Quitero
7956,ACH43,KALLEY,1775,Caldas,Federico Gutierrez
7383,ACH01,RICO,1673,Sabaneta,Federico Gutierrez
6696,ACH43,SONY,1184,Medellín,Luis Perez
7191,ACH22,KALLEY,1904,Envigado,Anibal Gaviria
1171,ACH43,RICO,1691,Caldas,Anibal Gaviria
3360,ACH43,KALLEY,831,Sabaneta,Daniel Quitero
758,ACH43,KALLEY,1359,Envigado,Sergio Fajardo
9358,ACH22,SONY,1347,Caldas,Daniel Quitero
6105,ACH22,SONY,532,Sabaneta,Daniel Quitero
9006,ACH01,RICO,1886,Envigado,Luis Perez
3093,ACH01,SONY,1657,Medellín,Anibal Gaviria
4198,ACH43,RICO,1753,Envigado,Sergio Fajardo
912,ACH01,SONY,1598,Bello,Sergio Fajardo
4778,ACH01,KALLEY,1523,Envigado,Daniel Quitero
2545,ACH01,RICO,228,Envigado,Luis Perez
9655,ACH22,SONY,222,Caldas,Daniel Quitero
7696,ACH01,RICO,1168,Medellín,Daniel Quitero
9392,ACH43,SONY,1494,Sabaneta,Luis Perez
4196,ACH01,RICO,979,Medellín,Luis Perez
7550,ACH43,SONY,419,Medellín,Luis Perez
6274,ACH01,KALLEY,161,Medellín,Federico Gutierrez
351,ACH22,RICO,426,Envigado,Luis Perez
9563,ACH43,SONY,1937,Medellín,Anibal Gaviria
5051,ACH22,RICO,632,Sabaneta,Luis Perez
2508,ACH01,RICO,612,Caldas,Daniel Quitero
7944,ACH43,RICO,1746,Envigado,Anibal Gaviria
5258,ACH01,SONY,1669,Sabaneta,Anibal Gaviria
142,ACH22,SONY,1132,Bello,Sergio Fajardo
6710,ACH01,RICO,200,Sabaneta,Daniel Quitero
8091,ACH22,RICO,1689,Bello,Daniel Quitero
2047,ACH43,KALLEY,1842,Medellín,Luis Perez
5546,ACH01,KALLEY,115,Medellín,Luis Perez
9351,ACH43,RICO,1978,Bello,Federico Gutierrez
7724,ACH22,SONY,1099,Caldas,Daniel Quitero
3440,ACH22,KALLEY,1102,Caldas,Federico Gutierrez
1197,ACH43,RICO,149,Sabaneta,Daniel Quitero
3835,ACH43,KALLEY,382,Sabaneta,Daniel Quitero
6178,ACH22,SONY,969,Sabaneta,Sergio Fajardo
5725,ACH22,RICO,1380,Bello,Anibal Gaviria
8971,ACH01,KALLEY,1380,Sabaneta,Anibal Gaviria
6957,ACH43,SONY,1434,Sabaneta,Luis Perez
7759,ACH43,KALLEY,579,Caldas,Luis Perez
9641,ACH43,RICO,321,Medellín,Anibal Gaviria
6348,ACH43,RICO,1703,Envigado,Luis Perez
4942,ACH01,SONY,375,Envigado,Luis Perez
9894,ACH43,KALLEY,1272,Sabaneta,Anibal Gaviria
2685,ACH22,RICO,1314,Caldas,Anibal Gaviria
5238,ACH43,RICO,840,Sabaneta,Federico Gutierrez
6545,ACH01,SONY,1789,Medellín,Anibal Gaviria
7938,ACH43,KALLEY,1748,Caldas,Sergio Fajardo
1600,ACH22,KALLEY,1367,Sabaneta,Federico Gutierrez
1922,ACH22,KALLEY,1317,Caldas,Daniel Quitero
3951,ACH43,KALLEY,1440,Sabaneta,Anibal Gaviria
6914,ACH22,RICO,1960,Medellín,Anibal Gaviria
713,ACH01,SONY,1738,Envigado,Anibal Gaviria
398,ACH22,KALLEY,209,Bello,Federico Gutierrez
685,ACH43,SONY,1373,Bello,Daniel Quitero
2441,ACH22,SONY,990,Bello,Daniel Quitero
2933,ACH22,SONY,1691,Sabaneta,Federico Gutierrez
5491,ACH01,KALLEY,1645,Caldas,Sergio Fajardo
304,ACH01,KALLEY,503,Medellín,Federico Gutierrez
9535,ACH01,RICO,382,Caldas,Federico Gutierrez
3234,ACH43,KALLEY,1486,Caldas,Sergio Fajardo
373,ACH22,KALLEY,1034,Bello,Luis Perez
6575,ACH01,KALLEY,246,Envigado,Luis Perez
4717,ACH22,SONY,936,Bello,Sergio Fajardo
2920,ACH01,SONY,1840,Sabaneta,Federico Gutierrez
5857,ACH43,SONY,1884,Bello,Luis Perez
8369,ACH43,RICO,1087,Caldas,Federico Gutierrez
3985,ACH43,RICO,1354,Caldas,Daniel Quitero
5504,ACH22,KALLEY,1451,Envigado,Sergio Fajardo
8833,ACH43,KALLEY,498,Medellín,Daniel Quitero
2174,ACH22,SONY,210,Sabaneta,Anibal Gaviria
3542,ACH01,KALLEY,1323,Envigado,Anibal Gaviria
2916,ACH22,SONY,950,Sabaneta,Luis Perez
7874,ACH22,RICO,1287,Medellín,Daniel Quitero
1339,ACH43,KALLEY,637,Medellín,Anibal Gaviria
1830,ACH22,KALLEY,1535,Sabaneta,Federico Gutierrez
5469,ACH01,SONY,735,Bello,Sergio Fajardo
3294,ACH01,KALLEY,369,Caldas,Sergio Fajardo
9605,ACH22,RICO,1767,Sabaneta,Luis Perez
664,ACH01,SONY,1180,Bello,Anibal Gaviria
8909,ACH01,SONY,1489,Caldas,Daniel Quitero
9721,ACH43,RICO,1334,Envigado,Sergio Fajardo
5403,ACH01,SONY,1465,Sabaneta,Luis Perez
1481,ACH22,KALLEY,755,Bello,Luis Perez
8959,ACH43,KALLEY,1894,Caldas,Sergio Fajardo
6311,ACH43,KALLEY,1627,Medellín,Luis Perez
4254,ACH22,SONY,1530,Bello,Anibal Gaviria
5569,ACH43,KALLEY,152,Bello,Luis Perez
8550,ACH22,KALLEY,917,Caldas,Federico Gutierrez
223,ACH01,SONY,1698,Medellín,Federico Gutierrez
5112,ACH01,SONY,805,Caldas,Anibal Gaviria
411,ACH43,SONY,1356,Sabaneta,Sergio Fajardo
9891,ACH01,KALLEY,283,Bello,Federico Gutierrez
6307,ACH01,SONY,353,Envigado,Anibal Gaviria
7069,ACH01,SONY,1374,Caldas,Luis Perez
8177,ACH01,RICO,1109,Sabaneta,Federico Gutierrez
9920,ACH01,KALLEY,502,Bello,Anibal Gaviria
4237,ACH22,KALLEY,1198,Sabaneta,Luis Perez
370,ACH22,RICO,441,Medellín,Daniel Quitero
590,ACH22,SONY,894,Caldas,Anibal Gaviria
7994,ACH22,SONY,1108,Medellín,Federico Gutierrez
3170,ACH22,RICO,447,Envigado,Federico Gutierrez
9505,ACH43,SONY,1079,Bello,Sergio Fajardo
6320,ACH01,KALLEY,1784,Sabaneta,Daniel Quitero
6937,ACH01,SONY,1670,Caldas,Daniel Quitero
5211,ACH01,SONY,1539,Sabaneta,Sergio Fajardo
363,ACH01,RICO,1190,Envigado,Anibal Gaviria
2912,ACH43,SONY,538,Medellín,Daniel Quitero
8617,ACH43,SONY,134,Sabaneta,Federico Gutierrez
6748,ACH43,KALLEY,1705,Bello,Luis Perez
578,ACH01,RICO,1782,Bello,Anibal Gaviria
4715,ACH01,KALLEY,1556,Bello,Federico Gutierrez
453,ACH22,SONY,813,Sabaneta,Daniel Quitero
3657,ACH22,KALLEY,1451,Envigado,Federico Gutierrez
7155,ACH43,SONY,1811,Caldas,Luis Perez
1263,ACH22,SONY,1333,Bello,Sergio Fajardo
5404,ACH22,KALLEY,1628,Envigado,Sergio Fajardo
6191,ACH22,RICO,1082,Envigado,Luis Perez
2525,ACH01,SONY,342,Caldas,Sergio Fajardo
2643,ACH01,SONY,1198,Envigado,Daniel Quitero
7240,ACH01,KALLEY,1539,Bello,Sergio Fajardo
1235,ACH01,KALLEY,852,Medellín,Sergio Fajardo
2762,ACH43,RICO,1469,Caldas,Sergio Fajardo
33,ACH43,KALLEY,455,Envigado,Federico Gutierrez
2725,ACH01,RICO,533,Sabaneta,Anibal Gaviria
4151,ACH43,SONY,1370,Medellín,Daniel Quitero
3908,ACH01,KALLEY,228,Caldas,Luis Perez
361,ACH43,SONY,233,Sabaneta,Luis Perez
1459,ACH43,SONY,1188,Sabaneta,Sergio Fajardo
1810,ACH01,SONY,1050,Caldas,Luis Perez
6541,ACH22,SONY,1741,Envigado,Federico Gutierrez
6801,ACH01,RICO,1754,Bello,Sergio Fajardo
1518,ACH22,KALLEY,136,Bello,Sergio Fajardo
4853,ACH01,SONY,521,Sabaneta,Luis Perez
9995,ACH22,SONY,994,Sabaneta,Daniel Quitero
2850,ACH22,KALLEY,1163,Sabaneta,Federico Gutierrez
1048,ACH22,KALLEY,1703,Bello,Daniel Quitero
8057,ACH22,SONY,335,Sabaneta,Federico Gutierrez
4665,ACH22,RICO,402,Envigado,Anibal Gaviria
9252,ACH43,KALLEY,1691,Caldas,Daniel Quitero
2521,ACH01,KALLEY,683,Bello,Daniel Quitero
8673,ACH01,SONY,1150,Envigado,Sergio Fajardo
3415,ACH43,SONY,929,Medellín,Federico Gutierrez
1629,ACH01,KALLEY,1940,Medellín,Federico Gutierrez
5440,ACH43,KALLEY,558,Envigado,Daniel Quitero
1942,ACH22,RICO,1597,Bello,Daniel Quitero
3800,ACH01,SONY,658,Bello,Luis Perez
7196,ACH22,RICO,219,Bello,Anibal Gaviria
8520,ACH22,RICO,839,Bello,Luis Perez
7626,ACH22,SONY,1241,Envigado,Luis Perez
8077,ACH22,KALLEY,689,Medellín,Sergio Fajardo
8793,ACH22,RICO,1515,Medellín,Anibal Gaviria
6374,ACH22,RICO,755,Envigado,Federico Gutierrez
6809,ACH43,SONY,1540,Bello,Anibal Gaviria
8890,ACH22,SONY,1610,Envigado,Anibal Gaviria
8839,ACH22,KALLEY,524,Caldas,Daniel Quitero
9166,ACH01,RICO,576,Caldas,Luis Perez
7535,ACH01,KALLEY,1858,Envigado,Daniel Quitero
1023,ACH01,SONY,1103,Sabaneta,Federico Gutierrez
3132,ACH22,SONY,1695,Envigado,Federico Gutierrez
9817,ACH43,SONY,1413,Sabaneta,Anibal Gaviria
1124,ACH01,SONY,1625,Medellín,Anibal Gaviria
3100,ACH43,RICO,784,Medellín,Daniel Quitero
3299,ACH01,SONY,610,Envigado,Sergio Fajardo
2093,ACH01,RICO,1935,Medellín,Daniel Quitero
323,ACH22,KALLEY,1387,Sabaneta,Anibal Gaviria
6988,ACH43,RICO,578,Medellín,Luis Perez
9786,ACH01,RICO,930,Caldas,Sergio Fajardo
6359,ACH22,KALLEY,166,Sabaneta,Anibal Gaviria
8620,ACH22,KALLEY,1774,Caldas,Anibal Gaviria
5440,ACH22,RICO,1368,Envigado,Federico Gutierrez
6108,ACH01,SONY,410,Sabaneta,Luis Perez
1511,ACH43,RICO,396,Envigado,Federico Gutierrez
5987,ACH22,SONY,108,Medellín,Sergio Fajardo
9098,ACH01,KALLEY,717,Sabaneta,Luis Perez
1549,ACH22,SONY,710,Sabaneta,Daniel Quitero
7164,ACH43,SONY,1107,Envigado,Daniel Quitero
4906,ACH01,KALLEY,1933,Sabaneta,Sergio Fajardo
7626,ACH22,KALLEY,1628,Bello,Daniel Quitero
8734,ACH22,KALLEY,823,Caldas,Federico Gutierrez
4439,ACH01,KALLEY,1183,Bello,Sergio Fajardo
8395,ACH22,KALLEY,656,Caldas,Sergio Fajardo
484,ACH22,RICO,1170,Bello,Luis Perez
4214,ACH01,RICO,1248,Caldas,Daniel Quitero
6661,ACH01,SONY,550,Envigado,Luis Perez
9782,ACH43,SONY,1122,Medellín,Luis Perez
3920,ACH22,RICO,1201,Medellín,Luis Perez
3303,ACH22,SONY,194,Sabaneta,Sergio Fajardo
2521,ACH43,SONY,308,Medellín,Daniel Quitero
1701,ACH01,KALLEY,1001,Sabaneta,Luis Perez
2173,ACH43,RICO,705,Caldas,Daniel Quitero
2879,ACH22,RICO,926,Bello,Anibal Gaviria
6342,ACH22,RICO,1388,Envigado,Daniel Quitero
935,ACH43,KALLEY,284,Caldas,Sergio Fajardo
1158,ACH22,SONY,1025,Envigado,Daniel Quitero
3624,ACH01,RICO,1673,Caldas,Sergio Fajardo
1680,ACH22,KALLEY,1587,Bello,Anibal Gaviria
5459,ACH43,SONY,1436,Envigado,Luis Perez
9683,ACH43,SONY,970,Medellín,Federico Gutierrez
1100,ACH01,SONY,1763,Bello,Daniel Quitero
1932,ACH01,SONY,915,Bello,Luis Perez
2182,ACH22,RICO,1588,Bello,Sergio Fajardo
4574,ACH22,KALLEY,904,Caldas,Luis Perez
9148,ACH22,KALLEY,773,Bello,Sergio Fajardo
6881,ACH22,KALLEY,1560,Medellín,Sergio Fajardo
9494,ACH43,RICO,1512,Caldas,Sergio Fajardo
3613,ACH43,SONY,1055,Sabaneta,Daniel Quitero
4196,ACH43,KALLEY,668,Envigado,Daniel Quitero
570,ACH43,KALLEY,1539,Bello,Federico Gutierrez
4712,ACH43,RICO,1132,Sabaneta,Luis Perez
4819,ACH22,SONY,1495,Bello,Anibal Gaviria
8453,ACH22,KALLEY,1371,Sabaneta,Sergio Fajardo
9671,ACH22,RICO,1884,Envigado,Daniel Quitero
7468,ACH01,RICO,927,Medellín,Anibal Gaviria
2646,ACH22,RICO,1040,Sabaneta,Anibal Gaviria
4874,ACH01,SONY,636,Bello,Daniel Quitero
2886,ACH43,KALLEY,1903,Medellín,Anibal Gaviria
1903,ACH22,RICO,1501,Envigado,Anibal Gaviria
1979,ACH43,KALLEY,1348,Sabaneta,Daniel Quitero
876,ACH01,RICO,939,Caldas,Luis Perez
4082,ACH43,RICO,1053,Envigado,Anibal Gaviria
902,ACH43,RICO,1931,Bello,Federico Gutierrez
5374,ACH43,KALLEY,1064,Sabaneta,Federico Gutierrez
235,ACH22,KALLEY,1701,Caldas,Luis Perez
7949,ACH01,RICO,1755,Envigado,Sergio Fajardo
8916,ACH43,KALLEY,1212,Sabaneta,Sergio Fajardo
9052,ACH01,RICO,695,Medellín,Federico Gutierrez
2558,ACH01,SONY,761,Caldas,Federico Gutierrez
6288,ACH43,KALLEY,1737,Medellín,Sergio Fajardo
9662,ACH01,KALLEY,1392,Sabaneta,Sergio Fajardo
6047,ACH22,KALLEY,977,Envigado,Federico Gutierrez
6723,ACH43,RICO,1045,Envigado,Federico Gutierrez
2915,ACH01,SONY,1838,Sabaneta,Luis Perez
4472,ACH01,RICO,209,Sabaneta,Luis Perez
7382,ACH01,KALLEY,1157,Caldas,Federico Gutierrez
4236,ACH22,SONY,1975,Bello,Daniel Quitero
8931,ACH43,RICO,647,Envigado,Daniel Quitero
5128,ACH22,RICO,1351,Envigado,Luis Perez
4669,ACH43,SONY,577,Medellín,Sergio Fajardo
5224,ACH01,RICO,572,Sabaneta,Sergio Fajardo
8997,ACH43,KALLEY,234,Medellín,Federico Gutierrez
7496,ACH01,SONY,1036,Envigado,Sergio Fajardo
6460,ACH22,RICO,607,Bello,Anibal Gaviria
7097,ACH01,SONY,1772,Bello,Daniel Quitero
4354,ACH01,RICO,901,Bello,Daniel Quitero
1484,ACH01,SONY,1576,Bello,Federico Gutierrez
4008,ACH22,SONY,236,Envigado,Sergio Fajardo
4125,ACH43,KALLEY,863,Bello,Daniel Quitero
8552,ACH43,RICO,1384,Envigado,Luis Perez
2605,ACH01,KALLEY,402,Caldas,Sergio Fajardo
1954,ACH01,SONY,642,Bello,Anibal Gaviria
1223,ACH01,SONY,1423,Medellín,Daniel Quitero
7894,ACH43,RICO,1488,Sabaneta,Sergio Fajardo
643,ACH43,SONY,248,Caldas,Daniel Quitero
398,ACH43,KALLEY,1870,Bello,Anibal Gaviria
571,ACH01,RICO,706,Medellín,Anibal Gaviria
5558,ACH43,SONY,1161,Caldas,Daniel Quitero
3883,ACH01,SONY,1024,Bello,Sergio Fajardo
3870,ACH43,SONY,715,Envigado,Luis Perez
6836,ACH22,KALLEY,1730,Caldas,Federico Gutierrez
7351,ACH22,RICO,1657,Bello,Daniel Quitero
4943,ACH22,KALLEY,357,Medellín,Daniel Quitero
4057,ACH22,RICO,307,Caldas,Federico Gutierrez
534,ACH01,KALLEY,1401,Medellín,Sergio Fajardo
8180,ACH43,RICO,343,Medellín,Anibal Gaviria
9782,ACH43,RICO,336,Caldas,Luis Perez
684,ACH01,RICO,596,Caldas,Anibal Gaviria
5574,ACH01,KALLEY,1523,Medellín,Anibal Gaviria
7498,ACH22,KALLEY,1442,Medellín,Anibal Gaviria
8225,ACH43,SONY,610,Medellín,Sergio Fajardo
8920,ACH43,RICO,1851,Envigado,Anibal Gaviria
1689,ACH01,RICO,1726,Bello,Anibal Gaviria
225,ACH22,RICO,909,Medellín,Daniel Quitero
4376,ACH22,RICO,885,Caldas,Sergio Fajardo
132,ACH43,RICO,1602,Medellín,Daniel Quitero
311,ACH43,RICO,1587,Bello,Daniel Quitero
4386,ACH01,SONY,1234,Caldas,Anibal Gaviria
1500,ACH43,KALLEY,447,Bello,Daniel Quitero
337,ACH01,SONY,154,Medellín,Sergio Fajardo
1554,ACH43,SONY,1435,Sabaneta,Anibal Gaviria
6618,ACH01,SONY,218,Medellín,Federico Gutierrez
4035,ACH22,KALLEY,1794,Medellín,Luis Perez
8536,ACH22,KALLEY,105,Sabaneta,Luis Perez
9005,ACH22,KALLEY,1135,Bello,Sergio Fajardo
689,ACH43,SONY,389,Bello,Sergio Fajardo
4617,ACH01,SONY,1080,Envigado,Sergio Fajardo
9452,ACH43,KALLEY,1284,Envigado,Daniel Quitero
2744,ACH22,KALLEY,595,Envigado,Daniel Quitero
4025,ACH22,KALLEY,808,Medellín,Anibal Gaviria
2166,ACH01,RICO,539,Caldas,Luis Perez
7376,ACH22,RICO,1378,Bello,Luis Perez
6032,ACH43,RICO,628,Sabaneta,Anibal Gaviria
6923,ACH43,KALLEY,1681,Medellín,Sergio Fajardo
8612,ACH22,SONY,1185,Caldas,Anibal Gaviria
670,ACH43,KALLEY,1443,Sabaneta,Luis Perez
4344,ACH22,SONY,454,Sabaneta,Federico Gutierrez
2193,ACH01,SONY,1316,Envigado,Federico Gutierrez
4856,ACH43,RICO,1508,Bello,Anibal Gaviria
8858,ACH43,KALLEY,409,Bello,Anibal Gaviria
9975,ACH22,SONY,1371,Sabaneta,Daniel Quitero
8671,ACH22,RICO,1682,Medellín,Daniel Quitero
1166,ACH22,SONY,675,Bello,Federico Gutierrez
736,ACH22,KALLEY,670,Sabaneta,Luis Perez
8779,ACH01,KALLEY,1787,Medellín,Anibal Gaviria
2469,ACH01,RICO,1730,Medellín,Sergio Fajardo
4286,ACH22,SONY,892,Caldas,Daniel Quitero
58,ACH22,KALLEY,929,Sabaneta,Daniel Quitero
6328,ACH22,SONY,1757,Medellín,Daniel Quitero
9645,ACH43,RICO,1100,Envigado,Luis Perez
1021,ACH01,SONY,807,Caldas,Luis Perez
2197,ACH43,SONY,452,Sabaneta,Sergio Fajardo
3318,ACH22,KALLEY,555,Bello,Federico Gutierrez
5127,ACH01,SONY,637,Envigado,Luis Perez
6725,ACH43,RICO,138,Sabaneta,Federico Gutierrez
2712,ACH22,KALLEY,1439,Envigado,Anibal Gaviria
8479,ACH01,RICO,620,Bello,Luis Perez
3397,ACH22,KALLEY,179,Caldas,Daniel Quitero
1402,ACH22,SONY,1849,Medellín,Sergio Fajardo
9464,ACH43,SONY,1833,Envigado,Federico Gutierrez
2442,ACH01,RICO,877,Sabaneta,Daniel Quitero
6462,ACH43,KALLEY,1533,Medellín,Federico Gutierrez
9339,ACH43,RICO,465,Caldas,Luis Perez
8477,ACH43,RICO,494,Medellín,Sergio Fajardo
5761,ACH43,KALLEY,1775,Caldas,Sergio Fajardo
2764,ACH22,RICO,574,Envigado,Federico Gutierrez
657,ACH22,RICO,1631,Caldas,Luis Perez
8161,ACH01,KALLEY,1302,Caldas,Daniel Quitero
3873,ACH22,RICO,431,Medellín,Daniel Quitero
4120,ACH43,RICO,1874,Caldas,Federico Gutierrez
4049,ACH22,KALLEY,166,Sabaneta,Anibal Gaviria
1795,ACH01,SONY,576,Sabaneta,Federico Gutierrez
4401,ACH22,SONY,1860,Envigado,Daniel Quitero
4563,ACH01,KALLEY,500,Bello,Sergio Fajardo
558,ACH22,RICO,1148,Caldas,Daniel Quitero
5226,ACH01,RICO,1584,Caldas,Federico Gutierrez
5152,ACH22,KALLEY,1258,Envigado,Daniel Quitero
7518,ACH01,SONY,616,Bello,Anibal Gaviria
8036,ACH01,SONY,120,Sabaneta,Anibal Gaviria
5554,ACH01,KALLEY,1637,Bello,Daniel Quitero
3482,ACH22,KALLEY,720,Medellín,Sergio Fajardo
960,ACH01,KALLEY,416,Medellín,Anibal Gaviria
1115,ACH01,RICO,1676,Envigado,Luis Perez
5730,ACH43,KALLEY,1218,Sabaneta,Anibal Gaviria
6206,ACH01,KALLEY,1039,Bello,Federico Gutierrez
8096,ACH22,KALLEY,427,Envigado,Luis Perez
919,ACH43,RICO,314,Envigado,Federico Gutierrez
9609,ACH22,KALLEY,794,Caldas,Sergio Fajardo
643,ACH01,KALLEY,1371,Bello,Daniel Quitero
708,ACH22,RICO,441,Envigado,Anibal Gaviria
8965,ACH43,RICO,1201,Medellín,Anibal Gaviria
7283,ACH01,SONY,1192,Caldas,Daniel Quitero
5656,ACH22,KALLEY,1730,Envigado,Sergio Fajardo
1336,ACH01,RICO,1396,Medellín,Daniel Quitero
4163,ACH01,SONY,1726,Caldas,Federico Gutierrez
9580,ACH43,RICO,893,Medellín,Luis Perez
5880,ACH22,SONY,1957,Caldas,Federico Gutierrez
6346,ACH43,SONY,113,Sabaneta,Sergio Fajardo
8777,ACH43,RICO,1823,Medellín,Luis Perez
853,ACH43,KALLEY,1487,Medellín,Anibal Gaviria
6472,ACH01,SONY,745,Sabaneta,Federico Gutierrez
1828,ACH43,SONY,1808,Medellín,Anibal Gaviria
9330,ACH22,SONY,194,Medellín,Sergio Fajardo
4169,ACH01,KALLEY,302,Envigado,Federico Gutierrez
5936,ACH22,SONY,1550,Caldas,Sergio Fajardo
5389,ACH43,KALLEY,1514,Envigado,Anibal Gaviria
4871,ACH43,SONY,431,Medellín,Federico Gutierrez
4711,ACH01,SONY,1000,Medellín,Sergio Fajardo
5946,ACH22,SONY,1146,Sabaneta,Sergio Fajardo
8291,ACH22,SONY,1248,Medellín,Anibal Gaviria
1035,ACH43,KALLEY,1509,Envigado,Anibal Gaviria
7021,ACH01,KALLEY,758,Caldas,Sergio Fajardo
8594,ACH43,RICO,405,Envigado,Federico Gutierrez
6416,ACH01,KALLEY,749,Envigado,Federico Gutierrez
6796,ACH22,SONY,431,Envigado,Sergio Fajardo
1862,ACH01,RICO,1818,Sabaneta,Luis Perez
6608,ACH01,KALLEY,211,Medellín,Anibal Gaviria
9101,ACH43,RICO,714,Caldas,Federico Gutierrez
9075,ACH43,RICO,1013,Envigado,Luis Perez
3563,ACH43,KALLEY,1927,Sabaneta,Luis Perez
5080,ACH22,RICO,1001,Bello,Sergio Fajardo
3413,ACH01,SONY,1716,Envigado,Daniel Quitero
7532,ACH43,RICO,101,Medellín,Federico Gutierrez
7537,ACH01,RICO,1311,Sabaneta,Daniel Quitero
701,ACH22,SONY,180,Bello,Federico Gutierrez
4490,ACH22,RICO,1522,Bello,Federico Gutierrez
1868,ACH22,KALLEY,518,Bello,Daniel Quitero
8734,ACH43,KALLEY,1760,Caldas,Luis Perez
5,ACH43,KALLEY,265,Sabaneta,Daniel Quitero
9008,ACH43,SONY,472,Bello,Anibal Gaviria
5782,ACH43,RICO,1901,Envigado,Sergio Fajardo
7484,ACH22,RICO,712,Caldas,Daniel Quitero
6348,ACH01,KALLEY,531,Medellín,Daniel Quitero
8402,ACH01,KALLEY,1744,Medellín,Daniel Quitero
3645,ACH22,KALLEY,608,Envigado,Daniel Quitero
4227,ACH43,RICO,1969,Medellín,Daniel Quitero
2548,ACH01,SONY,1461,Sabaneta,Daniel Quitero
5598,ACH43,KALLEY,1371,Envigado,Anibal Gaviria
7912,ACH22,RICO,862,Medellín,Anibal Gaviria
7129,ACH22,KALLEY,530,Sabaneta,Anibal Gaviria
8415,ACH43,SONY,420,Medellín,Sergio Fajardo
8042,ACH01,RICO,1193,Envigado,Anibal Gaviria
7259,ACH43,SONY,1853,Sabaneta,Luis Perez
